x	AcX	AcY	AcZ
0.00	-14516	17348	18772
1.00	-32768	-8612	9228
2.00	11576	17968	10500
3.00	-32096	-19240	-7600
4.00	7272	21400	17544
5.00	-9692	-19628	-6092
6.00	-32768	-11228	4988
7.00	6896	23424	10812
8.00	-29904	-21992	-8876
9.00	-10344	14556	17344
10.00	-7616	-12452	-5060
11.00	-32768	-15376	4912
12.00	5992	24952	8740
13.00	-1580	-20176	-5616
14.00	-32768	-16120	5072
15.00	3716	22264	12708
16.00	-32768	-19252	-9368
17.00	-8284	14992	18228
18.00	2172	-11492	-3876
19.00	-32768	-17228	2640
20.00	5848	24388	11620
21.00	-32768	-21540	80
22.00	4056	27560	17676
23.00	-20440	-23048	-8372
24.00	-22380	10604	18400
25.00	6200	1468	-1768
26.00	-32768	-22680	-1228
27.00	3552	19428	18540
28.00	-31724	-24292	-7860
29.00	-29388	8336	17472
30.00	4272	2784	1888
31.00	-32768	-27132	-1080
32.00	5056	19388	18436
0.00	11728	15724	5024
1.00	-32768	-25460	-7296
2.00	-32768	4424	14216
3.00	10644	14484	2932
4.00	-32768	-28128	-5260
5.00	-512	22856	19792
6.00	-21088	-23340	-7420
7.00	-32768	2036	12952
8.00	8728	14952	6160
9.00	-32768	-6008	10996
10.00	15808	23244	13020
11.00	-31668	-23132	-7348
12.00	-7992	14596	17280
13.00	-14696	-20392	-5240
14.00	-32768	-24484	4536
15.00	6016	22480	11024
16.00	-31824	-16068	-8108
17.00	12100	24196	18236
18.00	-10996	-22476	-3012
19.00	-30988	172	10572
20.00	7588	24320	4072
21.00	-32768	-13472	-11024
22.00	-5800	15568	15068
23.00	-6488	7696	-8292
24.00	-32768	-27648	-9596
25.00	2772	17304	14480
26.00	-26600	-22400	-4264
27.00	-32768	8592	13948
28.00	7984	22164	6324
29.00	-1772	10468	-4452
30.00	-9816	19668	11684
31.00	-32768	-22260	-7536
32.00	-7632	22424	21008
33.00	1504	15620	-368
34.00	-32768	-13568	11380
35.00	6292	5624	-1144
36.00	-26148	-21052	-11916
37.00	-32768	-8776	5008
38.00	-18060	-5384	-7272
39.00	-32768	-11100	-2296
40.00	-3320	26504	5088
