x	AcX	AcY	AcZ
0.00	12980	18436	4820
1.00	5260	20292	17584
2.00	-27692	-27756	-7528
3.00	-32228	6796	16504
4.00	13780	17356	5564
5.00	-32768	-24712	-5576
6.00	-144	17556	19728
7.00	-17056	-16684	-4740
8.00	-32768	-9960	10224
9.00	11888	21492	15812
10.00	-29776	-22444	-11276
11.00	-15836	16852	18732
12.00	-3944	-1400	-96
13.00	-32768	-23964	-3888
14.00	10596	21424	19072
15.00	-16540	-25928	-7320
16.00	-32768	-3064	11776
17.00	10520	21876	16512
18.00	-19376	-20080	-8656
19.00	-28720	9764	14416
20.00	1140	18192	3856
21.00	-32768	-4876	10772
22.00	6716	19972	13316
23.00	-30660	-19336	-9184
24.00	-14872	15432	18128
25.00	1616	5300	-280
26.00	-32768	-26660	-2284
27.00	4724	21148	15760
28.00	-16360	-23668	-8028
29.00	-28172	4740	14052
30.00	8720	17096	8488
31.00	-32768	-22232	-6088
32.00	-2940	19272	17484
33.00	-5860	-10720	-5156
34.00	-32768	-12156	6640
35.00	4972	20900	16800
36.00	-29036	-19204	-10044
37.00	-28976	9388	16816
38.00	12612	21872	10868
39.00	-32768	-20104	-10128
40.00	-20420	18408	18680
41.00	-30504	-23408	-10604
42.00	-31904	10756	14100
43.00	9348	15060	5080
44.00	-32768	-23280	-4456
45.00	4072	18768	16500
46.00	-17792	-22464	-7288
47.00	-32768	-5312	8452
48.00	11528	22996	9756
49.00	-29932	-21488	-8168
50.00	-9036	18100	18268
51.00	-7604	-5028	-3244
52.00	-32768	-25428	-752
53.00	11436	21856	17384
54.00	-16124	-21168	-10296
55.00	-32768	1128	12208
56.00	4468	21636	7964
57.00	-32768	-19640	-5796
58.00	4120	24124	19268
59.00	3216	21324	8636
60.00	-32768	-22628	-7760
61.00	3688	23552	12988
62.00	-32768	-22792	-8448
63.00	-9108	19524	19124
64.00	4620	252	-1808
65.00	-32768	-25656	-4404
66.00	2348	21148	17360
67.00	-13336	-17400	-6924
68.00	-32196	-2232	11312
69.00	9392	17728	11504
70.00	-32768	-20104	-7852
71.00	-9676	21472	17244
72.00	864	-6332	-1364
73.00	-32768	-18792	3504
74.00	6972	22516	15244
75.00	-31908	-26356	-8712
76.00	-27040	14744	16224
77.00	9344	12540	3128
78.00	-32768	-23736	-2700
79.00	3148	18548	17876
80.00	3540	10708	2128
81.00	-32768	-24704	-2316
82.00	9212	19812	7152
83.00	-29756	-17380	-9704
84.00	-15008	18020	18808
85.00	-4336	-116	212
86.00	-32768	-23860	2392
87.00	13880	25008	15984
88.00	-19608	-26740	-9588
89.00	-31896	10060	16152
90.00	2348	18632	5332
91.00	-32768	-23928	-3172
92.00	8548	20080	19144
93.00	-11764	-16588	-8908
94.00	-32768	-7412	8232
95.00	5996	22140	10804
96.00	-24812	-19484	-9376
97.00	-18524	15060	16660
98.00	1584	9700	1472
99.00	-32768	-26624	-2540
100.00	4472	20340	19560
101.00	1984	-4076	-3224
102.00	-27112	7576	14808
103.00	7540	18252	5740
104.00	-32768	-24152	-7024
105.00	-2816	19668	16840
106.00	-9268	-10864	-4612
107.00	-32768	-9908	7572
